Nr. crt.,Adresa,Nr,Sector,Anul construirii,Regimul de inaltime,Numar de apartamente,Aria desfasurata,Anul Elaborarii Expertizei Tehnice,Expertul tehnic atestat pentru cerinţa esenţiala de calitate-rezistenţă mecanică şi stabilitate de către M.D.R.A.P.,Observatii,Clasa de risc seismic
427,Soseaua COLENTINA,39 (bloc R14),Sector 2,1969,S+P+10E,88,6.82,2000,Dan POPESCU,,2. CLASA a-II-a DE RISC SEISMIC
428,Strada CONCORDIEI,7,Sector 4,1935,S+P+2E+Ma,5,345,1997,Marin TEODOR,,2. CLASA a-II-a DE RISC SEISMIC
429,Strada CONSTANTIN BĂLESCU,22,Sector 1,1957,S+P+3E+Pod,16,1.038,1993,Armand NEFIAN,,2. CLASA a-II-a DE RISC SEISMIC
430,Strada CONSTANTIN DISESCU,22,Sector 1,1930,S+P+2E+Ma,4,389,1997,Valentin GEORGESCU,,2. CLASA a-II-a DE RISC SEISMIC
431,Strada CONSTANTIN ESARHU,3,Sector 1,1924,S+P+5E+Ma,10,1.46,1997,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
432,Strada CONSTANTIN MILLE (“TEATRUL MIC”),14÷16 (corp A+B),Sector 1,1935÷1940 1950÷1955,S+P+2E S+P+Ma,0,306 825,2017,Andrei Dragoş MARCU,,2. CLASA a-II-a DE RISC SEISMIC
433,Strada CONSTANTIN NACU,4,Sector 2,1934,S+P+5E,20,1.484,1997,Rodica VASILESCU,,2. CLASA a-II-a DE RISC SEISMIC
434,Strada CONSTANTIN NACU,7,Sector 2,1937,S+P+4E,25,1.698,1996,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
435,Strada CONSTANTIN NACU,8,Sector 2,1933,S+P+4E+Ma,9,1.538,2004,Rodica VASILESCU,,2. CLASA a-II-a DE RISC SEISMIC
436,Strada CONSTANTIN SANDU ALDEA,65,Sector 1,1938,S+P+3E,7,408,1995,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
437,Strada CORBENI,37,Sector 2,1934,S+P+3E+Ma,9,656,1997,Gabriel NICULESCU,,2. CLASA a-II-a DE RISC SEISMIC
438,Bulevardul CORNELIU COPOSU,1 (corp A),Sector 3,1928,S+P+6E,20,2.401,2014,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2014,2. CLASA a-II-a DE RISC SEISMIC
439,Bulevardul CORNELIU COPOSU,1 (corp C),Sector 3,1928,S+P+6E,20,2.401,2014,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2014,2. CLASA a-II-a DE RISC SEISMIC
440,Șoseaua COTROCENI,32 (corp B),Sector 6,1936 - 1937,S+P+1E,-,,2017,Constantin FIRTEA,,2. CLASA a-II-a DE RISC SEISMIC
441,Strada COVACI (“BAZZAR LOUNGE & CLUB”),10,Sector 3,1890,S+P+2E,14,2.282,2016,Mihai URSĂCHESCU,Reîncadrare în clasă de risc seismic în anul 2016 (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Ioan VÂRŞĂ),2. CLASA a-II-a DE RISC SEISMIC
442,Strada COVACI (S.C. “GALERIA NOI” S.R.L. filiala “CRAII DE CURTE VECHE”),14,Sector 3,1940,P+2E+Ma,5,1.535,2016,Armand NEFIAN,Reîncadrare în clasă de risc seismic în anul 2016 + acordul majorităţii proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Mihai PERJESCU),2. CLASA a-II-a DE RISC SEISMIC
443,Strada D. I. MENDELEEV,19,Sector 1,1939,S+P+Mz+4E,10,994,1997,Marin TEODOR,,2. CLASA a-II-a DE RISC SEISMIC
444,Strada D. I. MENDELEEV,37,Sector 1,1930,S+P+3E+Ma,18,1.802,1997,Marin TEODOR,,2. CLASA a-II-a DE RISC SEISMIC
445,Strada D. I. MENDELEEV (fostă Bulevardul NICOLAE BĂLCEASCU),39 (39),Sector 1,1938,S+P+3E+Ma,20,1.591,1999,Ovidiu GEORGESCU,,2. CLASA a-II-a DE RISC SEISMIC
446,Bulevardul DACIA,33,Sector 1,1929,S+P+4E+Ma,14,875,1995,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
447,Bulevardul DACIA,47,Sector 1,1936,S+P+6E,0,1.029,2000,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2000,2. CLASA a-II-a DE RISC SEISMIC
448,Bulevardul DACIA,49 (fost 5),Sector 1,1948,S+P+5E,24,1.338,1997,Ion GANESCU,,2. CLASA a-II-a DE RISC SEISMIC
449,Bulevardul DACIA,88 (corp A),Sector 2,1969,S+P+11E,36 (corp A+B),4.224 (corp A+B),2000,Horia DUGAN,,2. CLASA a-II-a DE RISC SEISMIC
450,Bulevardul DACIA,109,Sector 2,1929,S+P+2E+Ma,7,483,1997,Alexandru HRISTOFOROV,,2. CLASA a-II-a DE RISC SEISMIC
451,Bulevardul DACIA,171 (fost 141),Sector 2,1934,S+P+3E+Ma,6,741,1993,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
452,Bulevardul DACIA,173 (fost 143),Sector 2,1933,S+P+2E+Ma,11,880,1993,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
453,Bulevardul DACIA (colț cu Strada MIHAI EMINESCU),28 (8),Sector 1,1921,S+P+6E,0,0,1998,Rodica VASILESCU,,2. CLASA a-II-a DE RISC SEISMIC
454,Intrarea DACILOR,4,Sector 1,1938,S+P+5E,12,1.375,1998,Rodica VASILESCU,,2. CLASA a-II-a DE RISC SEISMIC
455,Strada DAVID PRAPORGESCU,11,Sector 2,1922,S+P+3E+Ma,7,548,1993,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
456,Strada DESPOT VODĂ,7 (corp A),Sector 2,1923,P+1E,3,268,2015,Eugen LOZINCĂ,Încadrare în clasă de risc seismic în anul 2015,2. CLASA a-II-a DE RISC SEISMIC
457,Strada DIMINEŢII,1,Sector 2,1935,S+P+2E+Ma,4,670,2008,Nicola GOSPODINOV,Încadrare în clasă de risc seismic în anul 2008,2. CLASA a-II-a DE RISC SEISMIC
458,Bulevardul DIMITRIE CANTEMIR,13A,Sector 4,1932,S+P+3E+Ma,11,900,1997,Armand NEFIAN,,2. CLASA a-II-a DE RISC SEISMIC
459,Bulevardul DIMITRIE CANTEMIR,15 (bloc 9),Sector 4,1964,S+P+8…9E,226,16.38,2014,Dragoş BADEA,Încadrare în clasă de risc seismic în anul 2014,2. CLASA a-II-a DE RISC SEISMIC
460,Bulevardul DIMITRIE CANTEMIR,15A,Sector 4,1934,S+P+3E,5,648,1995,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
461,Strada DIMITRIE ONCIUL,16A,Sector 2,1934,S+P+3E+Ma,5,855,2007,Mircea MIRONESCU,,2. CLASA a-II-a DE RISC SEISMIC
462,Strada DIMITRIE ONCIUL,29A,Sector 2,1935,S+P+3E,4,716,2014,Eugeniu IORDACHESCU,Încadrare în clasă de risc seismic în anul 2014,2. CLASA a-II-a DE RISC SEISMIC
463,Bulevardul DINICU GOLESCU,"23÷25 (bloc B, corp A+B)",Sector 1,1960,S+P+9E; S+P+11E,352,24.41,2001,Cristian BALAN,,2. CLASA a-II-a DE RISC SEISMIC
464,Bulevardul DINICU GOLESCU,7,Sector 1,1933,S+P+5E,18,1.181,1997,Radu DIAMANDOPOL,,2. CLASA a-II-a DE RISC SEISMIC
465,Strada DIONISIE LUPU,35,Sector 2,1890,S+P+1E,4,346,1993,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
466,Strada DOMNIŢA ANASTASIA,15,Sector 5,1939,S+P+6E+Ma,26,1.672,1997,Vladimir AMBROZIE,,2. CLASA a-II-a DE RISC SEISMIC
467,Calea DOROBANŢILOR,10,Sector 1,1937,S+P+Mz+8E,36,3.301,1994,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
468,Calea DOROBANŢILOR,"36÷40 (bloc 1, ZODIAC)",Sector 1,1943,S+P+9E,0,6.925,2012,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2012,2. CLASA a-II-a DE RISC SEISMIC
469,Calea DOROBANŢILOR,49,Sector 1,1934,S+P+2E,7,856,1996,Maria GABOR,,2. CLASA a-II-a DE RISC SEISMIC
470,Calea DOROBANŢILOR,65,Sector 1,1928,S+P+4E,12,1.137,1996,Maria GABOR,,2. CLASA a-II-a DE RISC SEISMIC
471,Calea DOROBANŢILOR,73,Sector 1,1936,S+P+4E,10,521,1996,Maria GABOR,,2. CLASA a-II-a DE RISC SEISMIC
472,Strada DROBETA,1,Sector 2,1936,S+P+4E+Ma,16,1.678,1997,Alexandru HRISTOFOROV,,2. CLASA a-II-a DE RISC SEISMIC
473,Strada DROBETA,7,Sector 2,1939,S+P+5E,26,1.282,1997,Niculaie TUDOSE,,2. CLASA a-II-a DE RISC SEISMIC
474,Calea DUDEŞTI,111,Sector 3,1947,S+P+4E,9,776,1997,Mihai IANCULESCU,,2. CLASA a-II-a DE RISC SEISMIC
475,Strada DUMBRAVA ROŞIE,22,Sector 2,1930,S+P+3E,7,830,1993,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
476,Strada DUMBRAVA ROŞIE,24,Sector 2,1934,S+P+3E,8,624,1993,Nicolae NEER,,2. CLASA a-II-a DE RISC SEISMIC
477,Strada EDGAR QUINET,3,Sector 1,1930,S+P+10E,30,1.955,1998,Alexandrina PRETORIAN,,2. CLASA a-II-a DE RISC SEISMIC
478,Strada EDGAR QUINET,5,Sector 1,1939,S+P+8E,20,1.622,1998,Anatolie CAZACLIU,,2. CLASA a-II-a DE RISC SEISMIC
479,Strada ELENA,2 (bloc OD7C),Sector 2,1968,S+P+10E,44,2.926,2000,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
480,Strada ELENA,4 (bloc OD7B),Sector 2,1967,S+P+10E,44,3.08,2000,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
481,Strada EPISCOPIEI,2÷4,Sector 1,1929,S+P+5E+Ma,36,2.73,1998,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
482,Strada EPISCOPIEI,5,Sector 1,1936,S+Ds+P+6E,17,2.312,2016,Mircea IEREMIA,Reîncadrare în clasă de risc seismic în anul 2016 (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Dan CĂPĂŢÂNĂ),2. CLASA a-II-a DE RISC SEISMIC
483,Strada EPISCOPIEI,6,Sector 1,1924,S+P+5E,20,2.35,1998,Grigore ARSENIE,,2. CLASA a-II-a DE RISC SEISMIC
484,Strada EPISCOPUL RADU,42 (corp A+B+C),Sector 2,1937,S+P+2E+Ma S+P+1E+Ma,4,446,1997,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
485,Strada FĂGĂRAŞ,16,Sector 1,1940,S+P+3E,7,513,1997,Horia DUGAN,,2. CLASA a-II-a DE RISC SEISMIC
486,Bulevardul FERDINAND I,51 (corp A),Sector 2,1956,S+P+5E+Ma,6,2.67,1993,Niculaie TUDOSE,,2. CLASA a-II-a DE RISC SEISMIC
487,Strada FLUVIULUI,18,Sector 1,1933,S+P+5E,12,816,1998,Alexandru BRANZEI,,2. CLASA a-II-a DE RISC SEISMIC
488,Strada FRUMOASĂ,17,Sector 1,1939,S+P+3E+Pod,6,560,2000,Zefir APOSTOL,,2. CLASA a-II-a DE RISC SEISMIC
489,Intrarea FRUMOASĂ,6,Sector 1,1936,S+P+7E,4,390,1993;1999,Maria.DARIE,,2. CLASA a-II-a DE RISC SEISMIC
490,Strada GABROVENI,6÷8,Sector 3,1890,S+P+1E+Ma,5,2.327,2016,Mihai VOICULESCU,Reîncadrare în clasă de risc seismic în anul 2016 + acordul majorităţii proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Laurenţiu SPOIALA),2. CLASA a-II-a DE RISC SEISMIC
491,Strada GĂRII DE NORD,2÷4 (bloc C),Sector 1,1959,S+P+9E,276,15.129,2000,Alexandrina PRETORIAN,,2. CLASA a-II-a DE RISC SEISMIC
492,Strada GĂRII DE NORD,"6÷8 (bloc A, corp principal, sc.1)",Sector 1,1959,S+P+9E,63,2.15,2016,Ioan Mihai PAUL,Reîncadrare în clasă de risc seismic în anul 2016 (corpul principal a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Emilian ŢIŢARU); corpul anexă este încadrat în clasa de risc seismic RsIII,2. CLASA a-II-a DE RISC SEISMIC
493,Strada GEORGE ENESCU,5 (corp A),Sector 1,1910,S+P+1E+Ma+Pod,2,800,2016,Ionel BELGUN,Încadrare în clasă de risc seismic în anul 2016,2. CLASA a-II-a DE RISC SEISMIC
494,Strada GEORGE ENESCU,33,Sector 1,1910,S+P+5E,27,2.909,1998,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
495,Strada GEORGE ENESCU,7,Sector 1,1934,S+P+7E,40,4.496,1997,Alexandrina PRETORIAN,,2. CLASA a-II-a DE RISC SEISMIC
496,Strada GEORGE ENESCU,9,Sector 1,1934,S+P+5E+Ma,24,1.016,1997,Alexandrina PRETORIAN,,2. CLASA a-II-a DE RISC SEISMIC
497,Strada GEORGES CLEMENCEAU,4,Sector 1,1939,S+P+5E,14,1.547,1997,Nicolae GHITA,,2. CLASA a-II-a DE RISC SEISMIC
498,Bulevardul GHEORGHE I. DUCA,17,Sector 1,1936,S+P+4+Ma,14,1.182,1995,Valentin NEDRITA,,2. CLASA a-II-a DE RISC SEISMIC
499,Bulevardul GHEORGHE I. DUCA,8,Sector 1,1938,S+P+5E,22,1.31,1998,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
500,Strada GHEORGHE LAZĂR,4,Sector 1,1938,S+P+5E+Ma,30,1.84,2000,Rodica VASILESCU,,2. CLASA a-II-a DE RISC SEISMIC
501,Strada GHEORGHE LAZĂR,5,Sector 1,1920,S+P,1,250,1993,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
502,Bulevardul GHEORGHE MAGHERU,7,Sector 1,1961,S+P+Mz+9E,126,17.792,2000,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
503,Bulevardul GHEORGHE MAGHERU,32÷36 (tronson I+II+III),Sector 1,1959,S+P+9E; S+P+7E,0,16.268,2010,Traian POPP,Încadrare în clasă de risc seismic în anul 2010,2. CLASA a-II-a DE RISC SEISMIC
504,Bulevardul GHEORGHE MAGHERU (Cinematograful „SCALA”),2÷4,Sector 1,1938,S+P+7E,53,8.329,1999,Anatolie CAZACLIU,,2. CLASA a-II-a DE RISC SEISMIC
505,"Bulevardul GHEORGHE MAGHERU (colț cu Strada JULES MICHELET, Teatrul „C.I. NOTTARA”)",20 (2÷6),Sector 1,1946; 1940,P+9E; P+6E+Ma,52; 12,7.053; 2.447,2016,Ioan Mihai PAUL,Reîncadrare în clasă de risc seismic în anul 2016 (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Mihai NĂVODARIU),2. CLASA a-II-a DE RISC SEISMIC
506,Strada GHEORGHE MÂNDREA,4,Sector 2,1934,S+P+2E,2,460,1995,Octavian MANOIU,,2. CLASA a-II-a DE RISC SEISMIC
507,Strada GHEORGHE MANU,18,Sector 1,1900,S+P+3E,0,1.14,2014,Cătălin ȘTEFAN,Încadrare în clasă de risc seismic în anul 2014,2. CLASA a-II-a DE RISC SEISMIC
508,Bulevardul GHEORGHE MARINESCU,19,Sector 5,1934,S+P+4,14,2.13,1999,Anatolie CAZACLIU,,2. CLASA a-II-a DE RISC SEISMIC
509,Strada GHEORGHE PETRAŞCU,14A (bloc 9A),Sector 3,1964,P+9E+1E retras,44,3.54,2013,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2013 (documentaţie tehnico economică elaborată pentru creşterea eficienţei energetice a construcţiei),2. CLASA a-II-a DE RISC SEISMIC
510,Strada GHEORGHE POLIZU,30,Sector 1,1937,S+P+3E,5,400,1997,Marin TEODOR,,2. CLASA a-II-a DE RISC SEISMIC
511,Strada GHEORGHE POP DE BASEŞTI,43÷45 (corp A+B),Sector 2,1939,S+P+4E ;S+P,11,1.315,1993,Cristian BALAN,,2. CLASA a-II-a DE RISC SEISMIC
512,Strada GION IONESCU,2,Sector 3,1938,S+P+5E,240,19.044,2001,Zefir APOSTOL,,2. CLASA a-II-a DE RISC SEISMIC
513,Calea GIULEȘTI,42 (bl.8 sc.A-D),Sector Sector 6,1960-1962,S+P+7E+1E RETRAS,,12.38,2018,Dumitru POPESCU,Reexpertizat tehnic în anul 2018,2. CLASA a-II-a DE RISC SEISMIC
514,Șoseaua GIURGIULUI,72÷86 (bloc B),Sector 4,1964,S+P+8E,196,13.167,2001,Alexandru BRANZEI,,2. CLASA a-II-a DE RISC SEISMIC
515,Șoseaua GIURGIULUI,120A (bloc 13),Sector 4,1963,S+P+16E,369,18.706,1993;2000,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
516,Șoseaua GIURGIULUI,126 (bloc 7),Sector 4,1962,S+P+7E,256,17.84,2001,Alexandru BRANZEI,,2. CLASA a-II-a DE RISC SEISMIC
517,Strada GLADIOLELOR,11,Sector 4,aprox. 1890,S+P+1E,,352,2019,Ionel BELGUN,,2. CLASA a-II-a DE RISC SEISMIC
518,Calea GRIVIŢEI,13,Sector 1,1890,S+P+3E+Ma,11,520,1995,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
519,Calea GRIVIŢEI,77,Sector 1,1900,S+P+2E,5,840,1997,Rodica VASILESCU,,2. CLASA a-II-a DE RISC SEISMIC
520,Calea GRIVIŢEI,139,Sector 1,1965,S+P+Mz+8E,108,11.2,1998,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
521,Calea GRIVIŢEI,174 (bloc S),Sector 1,1962,S+P+11E,46,4.04,2001,Niculaie TUDOSE,,2. CLASA a-II-a DE RISC SEISMIC
522,Calea GRIVIŢEI,188 (bloc M),Sector 1,1962,S+P+11E,46,4.095,2001,Niculaie TUDOSE,,2. CLASA a-II-a DE RISC SEISMIC
523,Calea GRIVIŢEI,236 (bloc H),Sector 1,1961,S+P+8E,93,7.612,2001,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
524,Calea GRIVIŢEI,395 (bloc M),Sector 1,1960,S+P+7E+Ma,92,7.717,2001,Dan CAPATINA,,2. CLASA a-II-a DE RISC SEISMIC
525,Strada HENRI COANDĂ,33,Sector 1,1938,S+P+3E+Pod,5,916,2000,Zefir APOSTOL,,2. CLASA a-II-a DE RISC SEISMIC
526,Strada HENRI MATHIAS BERTHELOT,27,Sector 1,1940,S+P+6E,0,3.81,2002,Zefir APOSTOL,,2. CLASA a-II-a DE RISC SEISMIC
527,Strada HENRI MATHIAS BERTHELOT,36,Sector 1,1936,S+P+4E+Ma,0,6.392,1998,Horia DUGAN,,2. CLASA a-II-a DE RISC SEISMIC
528,Bulevardul HRISTO BOTEV,3,Sector 3,1923÷1925,S1+S2+P+6E+Ma,14,4.625,2017,Ioan Mihai PAUL,Reîncadrare în clasă de risc seismic în anul 2017 (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Dan POPESCU),2. CLASA a-II-a DE RISC SEISMIC
529,Bulevardul HRISTO BOTEV,8,Sector 3,1930,S+P+7E,15,2.168,1994,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
530,Bulevardul I. C. BRĂTIANU (Librăria „COLŢEI”),12,Sector 3,1928,S+P+Mz+4E,11,1.68,1999,Nicolae CONSTANTINESCU,,2. CLASA a-II-a DE RISC SEISMIC
531,Strada IACOB FELIX,11,Sector 1,1930,S+P+2E,5,569,1996,Maria GABOR,,2. CLASA a-II-a DE RISC SEISMIC
532,Strada ICOANEI,25,Sector 2,1935,S+P+2E+Ma,5,387,1997,Marin TEODOR,,2. CLASA a-II-a DE RISC SEISMIC
533,Strada ICOANEI,69 (corp B+C),Sector 2,1880,S+P+1E; S+P+2E+Ma,0,0,1993,Șerban PĂUNESCU,Încadrare în clasă de risc seismic în anul 2006,2. CLASA a-II-a DE RISC SEISMIC
534,Strada IENACHIŢĂ VĂCĂRESCU,34 (corp C),Sector 4,1906,Sparțial+P+1E+Ma,2,445,2017,Adrian IORDĂCHESCU,Reîncadrare în clasă de risc seismic în anul 2017 + acordul coproprietarului (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Constantin NICUȚ),2. CLASA a-II-a DE RISC SEISMIC
535,Strada ILFOV,1B,Sector 5,1898,S+P+2E,0,571,1997,Zefir APOSTOL,,2. CLASA a-II-a DE RISC SEISMIC
536,Splaiul INDEPENDENŢEI (colț cu Strada NICOLAE TONITZA),2K (13),Sector 3,1915,2S+P+Mz+6E,18,11.504,2016,Ramiro SOFRONIE; Mircea CRIŞAN,Reîncadrare în clasă de risc seismic în anul 2016 + acordul majorităţii proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Gabriel NICULESCU),2. CLASA a-II-a DE RISC SEISMIC
537,Intrarea IOANID,4,Sector 2,1910,S+P+1E+Ma,8,924,1999,Ovidiu GEORGESCU,,2. CLASA a-II-a DE RISC SEISMIC
538,Strada ION BERINDEI,8 (bloc OD17),Sector 2,1970,S+P+10E,44,3.146,2000,Mihai NAVODARIU,,2. CLASA a-II-a DE RISC SEISMIC
539,Strada ION BREZOIANU,11,Sector 5,1935,S+P+5E,19,1.302,1997,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
540,Strada ION BREZOIANU,29A,Sector 1,1930,S+P+8E,45,3.672,1994,Dragoş BADEA,,2. CLASA a-II-a DE RISC SEISMIC
541,Strada ION BREZOIANU,53A,Sector 1,1946,S+P+7E+Ma,34,4.3,2002,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
542,Strada ION BREZOIANU,53B,Sector 1,1946,S+P+9E,34,2.88,2002,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
543,Strada ION CÂMPINEANU,1 (corp A),Sector 1,1957,S+P+7E,47,5.891,2000,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
544,Strada ION CÂMPINEANU,13,Sector 1,1921,S+P+Mz+7E,16,1.144,1997,Grigore ARSENIE,,2. CLASA a-II-a DE RISC SEISMIC
545,Strada ION CÂMPINEANU,20A (bloc 18A),Sector 1,1961,S+P+Mz+7E,0,2.791,1998,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
546,Strada ION CÂMPINEANU,25,Sector 1,1960,S+P+Mz+15E,89,7.94,2004,Mihai NAVODARIU,,2. CLASA a-II-a DE RISC SEISMIC
547,Strada ION CÂMPINEANU,"31 (bloc 4, sc.1; bloc 5; bloc 6A)",Sector 1,1960,S+P+9E,30,3.931,2004,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
548,Strada ION CÂMPINEANU,"31 (bloc 4, sc.2+3+4)",Sector 1,1959,S+P+9E,90,5.789,2004,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
549,Strada ION CÂMPINEANU,24 (tr. 1+2+3),Sector Sector 1,1960-1962,S+P+8E+ETH S+P+8E+ETH S+P+8E+2E RETRAS,,13.128,2018,Dumitru POPESCU,,2. CLASA a-II-a DE RISC SEISMIC
550,Intrarea ION LUCA CARAGIALE,8,Sector 2,1933,S+P+4E,13,1.73,1997,Grigore ARSENIE,,2. CLASA a-II-a DE RISC SEISMIC
551,Bulevardul ION MIHALACHE,325,Sector 1,1962,S+P+10E,44,3.833,2008,Stelian PICULESCU. Emilian TITARU,Încadrare în clasă de risc seismic în anul 2008,2. CLASA a-II-a DE RISC SEISMIC
552,Strada ION NISTOR,4,Sector 3,1949,2S+P+10E,0,1.75,1994,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
553,Strada ION SLĂTINEANU,4 (corp A+B),Sector 1,1935,S+P+2E,6,538,1997,Vladimir AMBROZIE,,2. CLASA a-II-a DE RISC SEISMIC
554,Bulevardul IULIU MANIU,57 (bloc OD16),Sector 6,1972,S+P+11E,264,19.492,2000,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
555,Strada JEAN LOUIS CALDERON,40,Sector 2,1942,S+P+6E,32,2.976,2010,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
556,Strada JEAN LOUIS CALDERON,76,Sector 2,1900,S+P+1E+Ma,0,2.528,1993,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
557,Strada JOLIOT FREDERIC CURIE,7,Sector 5,1939,S+P+2E,7,480,1997,Silvia CARAMAN,,2. CLASA a-II-a DE RISC SEISMIC
558,Strada JOLIOT FREDERIC CURIE,10,Sector 5,1938; 1940,S+P+3E,9,1,1997,Grigore ARSENIE,,2. CLASA a-II-a DE RISC SEISMIC
559,Strada JOSEPH LISTER,1,Sector 5,1934,S+P+4E+Ma,21,2.033,2016,Gheorghe POPESCU,Reîncadrare în clasă de risc seismic în anul 2016 + acordul asociaţiei proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Nicolae GHIŢĂ),2. CLASA a-II-a DE RISC SEISMIC
560,Strada JULES MICHELET,19,Sector 1,1935,S+P+6E,13,1.942,1998,Marin TEODOR,,2. CLASA a-II-a DE RISC SEISMIC
561,Strada JULES MICHELET,25,Sector 1,1936,S+P+6E,11,1.552,1997,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
562,Bulevardul LASCĂR CATARGIU,11A,Sector 1,1939,S+P+6E,30,4.69,1994,Dan POPESCU,,2. CLASA a-II-a DE RISC SEISMIC
563,Bulevardul LASCĂR CATARGIU (imobil cu destinaţia de birouri şi locuinţe),1,Sector 1,1890,Ds+P+2E+Pod,6,1.128,2017,Armand NEFIAN,,2. CLASA a-II-a DE RISC SEISMIC
564,Strada LITOVOI VOIEVOD,1 (bloc OD7A),Sector 2,1970,S+P+10E,44,3.212,2000,Mihai NAVODARIU,,2. CLASA a-II-a DE RISC SEISMIC
565,Strada LIZEANU,20,Sector 2,1936,S+P+3E,13,945,1997,Alexandru HRISTOFOROV,,2. CLASA a-II-a DE RISC SEISMIC
566,Strada LONDRA,19,Sector 1,1935,S+P+3E+Ma,12,1.313,1996,Vladimir AMBROZIE,,2. CLASA a-II-a DE RISC SEISMIC
567,Strada LUTERANĂ,5,Sector 1,1932,S+P+5E,71,7.315,1998,Mihai URSACHESCU,,2. CLASA a-II-a DE RISC SEISMIC
568,Strada MAIOR ALEXANDRU CÎMPEANU,13,Sector 1,1920,S+P+2E,7,649,1997,Nicolae CONSTANTINESCU,,2. CLASA a-II-a DE RISC SEISMIC
569,Strada MAIOR ALEXANDRU CÎMPEANU,29,Sector 1,1934,S+P+2E,5,549,1997,Dragoş BADEA,,2. CLASA a-II-a DE RISC SEISMIC
570,Strada MÂNTULEASA,16,Sector 2,1928,S+P+4E,9,1.308,2001,Zefir APOSTOL,,2. CLASA a-II-a DE RISC SEISMIC
571,Bulevardul MĂRĂŞEŞTI,100,Sector 4,1937,S+P+4E,10,692,1997,Mircea IANCULESCU,,2. CLASA a-II-a DE RISC SEISMIC
572,Strada MARIA ROSETTI,16 (corp A+B),Sector 2,1936,S+P+2E+Ma; S+P+4E+Ma,9,1.47,1993,Adina SIMION,,2. CLASA a-II-a DE RISC SEISMIC
573,Strada MARIA ROSETTI,26,Sector 2,1938,S+P+6E,12,1.239,1997,Niculaie TUDOSE,,2. CLASA a-II-a DE RISC SEISMIC
