Nr. crt.,Adresa,Nr,Sector,Anul construirii,Regimul de inaltime,Numar de apartamente,Aria desfasurata,Anul Elaborarii Expertizei Tehnice,Expertul tehnic atestat pentru cerinţa esenţiala de calitate-rezistenţă mecanică şi stabilitate de către M.D.R.A.P.,Observatii,Clasa de risc seismic
311,Strada SMÂRDAN,26,Sector 3,1910,S+P+1E+ Pod,0,110,1993,Mihai URSACHESCU,Încadrare în clasă de risc seismic în anul 2014,1. CLASA I DE RISC SEISMIC
312,Strada SPĂTARULUI,1,Sector 2,1935,P+6E,17,2.706,1993,Gabriel NICULESCU,,1. CLASA I DE RISC SEISMIC
313,Strada SPĂTARULUI,36,Sector 2,1934,S+P+3E+Ma,11,2.131,1993,Adina SIMION,,1. CLASA I DE RISC SEISMIC
314,Strada SPATARULUI,6÷6A,Sector 2,1930,S+P+4E+Ma,,2,2019,Cătălin ȘTEFAN,Reexpertizat tehnic în anul 2019,1. CLASA I DE RISC SEISMIC
315,Strada SPERANŢEI,24,Sector 2,1940,S+P+6E,11,1.6,1997,Stere CARACOTI,,1. CLASA I DE RISC SEISMIC
316,Şoseaua ŞTEFAN CEL MARE,"31 (bloc 29, tronson D- de capăt, scara 5)",Sector 2,1963,S+P+9E,33,2.17,1993; 1997,Marin TEODOR,,1. CLASA I DE RISC SEISMIC
317,Strada ŞTEFAN LUCHIAN,3,Sector 2,1935,Ds+P+5E,19,2.12,1993,Marin TEODOR; Valentin GEORGESCU,,1. CLASA I DE RISC SEISMIC
318,Strada ŞTEFAN LUCHIAN,12C,Sector 2,1933,S+P+4E+Ma,11,864,1993,Dan STANCIULESCU,CONSOLIDAT PARŢIAL !,1. CLASA I DE RISC SEISMIC
319,Strada ŞTEFAN MIHĂILEANU,8,Sector 2,1940,S+P+2E,6,533,1993,Ion LUNGU,,1. CLASA I DE RISC SEISMIC
320,Strada STELEA SPĂTARU,17,Sector 3,1937,S+P+6E,52,4.125,1994,Marin TEODOR,,1. CLASA I DE RISC SEISMIC
321,Strada ŞTIRBEI VODĂ,16,Sector 1,1934,P+7E,23,4.414,1994,Mihai NAVODARIU,,1. CLASA I DE RISC SEISMIC
322,Strada ŞTIRBEI VODĂ,20,Sector 1,1935,S+P+6E+Ma,33,4.25,2001,Gabriel NICULESCU,,1. CLASA I DE RISC SEISMIC
323,Strada ŞTIRBEI VODĂ,22,Sector 1,1936,D+P+2E+Ma,6,1.521,2010,Mihai URSACHESCU,,1. CLASA I DE RISC SEISMIC
324,Strada ŞTIRBEI VODĂ,126,Sector 1,1935,S+P+3E,6,800,1994,Emil COROIU,,1. CLASA I DE RISC SEISMIC
325,Drumul TABEREI,"30 (bloc OD3, sc.1+2+3+4+5)",Sector 6,1964,S+P+8E,180,14.668,2017,Mihai URSĂCHESCU,,1. CLASA I DE RISC SEISMIC
326,Strada TACHE IONESCU,3,Sector 1,1935,S+P+9E,19,2.21,1993,Zefir APOSTOL,,1. CLASA I DE RISC SEISMIC
327,Strada ŢEPEŞ VODĂ,84C,Sector 2,1930,S+P; S+P+3E+Ma,9,784,1993,Ion LUNGU,,1. CLASA I DE RISC SEISMIC
328,Strada TITU MAIORESCU,16,Sector 2,1925,S+P+3E,8,800,1993,Mihai NAVODARIU,,1. CLASA I DE RISC SEISMIC
329,Strada TUDOR ARGHEZI,54,Sector 2,1924,S+P+7E,19,2.612,1996,Helmuth KOBER,,1. CLASA I DE RISC SEISMIC
330,Strada TUDOR ARGHEZI (colț cu Strada BATISTE),26 (17),Sector 2,1939,S+P+8E,76,7.97,1993,Emilian TITARU,,1. CLASA I DE RISC SEISMIC
331,Splaiul UNIRII,66÷68,Sector 4,1908,S+P+1E,2,160,1993,Dan STANCIULESCU,,1. CLASA I DE RISC SEISMIC
332,Splaiul UNIRII,78,Sector 4,1936,S+P+1E,5,230,1993,Dan STANCIULESCU,,1. CLASA I DE RISC SEISMIC
333,Splaiul UNIRII,98,Sector 4,1900,S+P,2,145,1993,Dan STANCIULESCU,,1. CLASA I DE RISC SEISMIC
334,Strada VÂNĂTORI,1A,Sector 5,1936,S+P+5E+Ma,17,1.296,2012,Horia DUGAN,Încadrare în clasă de risc seismic în anul 2012,1. CLASA I DE RISC SEISMIC
335,Strada VÂNĂTORI,3÷3A,Sector 5,1891,S+P+3E+Ma,19,2.378,1995,Mircea IEREMIA,,1. CLASA I DE RISC SEISMIC
336,Strada VÂNATORI,17,Sector 5,1938,P+5E,8,918,1995,Ioan NICULA,,1. CLASA I DE RISC SEISMIC
337,Strada VASELOR,38,Sector 2,1913,S+P+2E+Ma,9,815,1993,Ion LUNGU,,1. CLASA I DE RISC SEISMIC
338,Strada VASELOR,44,Sector 2,1928,S+P+3E,54,8.684,1993,Adina SIMION,,1. CLASA I DE RISC SEISMIC
339,Strada VASILE LASCĂR,18,Sector 2,1935,S+P+6E,35,5.041,1993,Emilian TITARU,,1. CLASA I DE RISC SEISMIC
340,Strada VASILE LASCĂR,26÷28,Sector 2,1937,P+6E,28,3.08,1993,Mircea DABIJA; Paul VERNESCU,,1. CLASA I DE RISC SEISMIC
341,Strada VASILE LUCACIU,15,Sector 3,1930,S+P+2E+Ma,3,684,1993,Adina SIMION,,1. CLASA I DE RISC SEISMIC
342,Strada VASILE LUCACIU,18,Sector 3,1934,S+P+3E,6,684,1993,Adina SIMION,,1. CLASA I DE RISC SEISMIC
343,Strada VASILE LUCACIU,90 (corp A+B),Sector 3,1930,S+P+1; S+P+2E+Ma,6,1.152,1993,Dan POPESCU,,1. CLASA I DE RISC SEISMIC
344,Strada VASILE PÂRVAN,2÷4,Sector 1,aprox.1926,S PARTIAL+P+Ma,,304,2019,Ionel BELGUN,Reexpertizat tehnic în anul 2019,1. CLASA I DE RISC SEISMIC
345,Intrarea VICTOR EFTIMIU,9,Sector 1,1935,S+P+8E,88,7.905,1994,Nicolae TEMELCU,,1. CLASA I DE RISC SEISMIC
346,Calea VICTORIEI,31,Sector 1,1909,S+P+4E,28,4.545,1995,Mihai URSACHESCU,Încadrare în clasă de risc seismic în anul 2008,1. CLASA I DE RISC SEISMIC
347,Calea VICTORIEI,52,Sector 1,1850,S+P+3E,31,3.447,1995,Eugeniu IORDACHESCU,,1. CLASA I DE RISC SEISMIC
348,Calea VICTORIEI,87÷89,Sector 1,1890,S+P+2E+Ma,25,4.452,1993,Emilian TITARU,,1. CLASA I DE RISC SEISMIC
349,Calea VICTORIEI,95,Sector 1,1938,S+P+11E,37,4.167,1993,Dan CAPATINA,,1. CLASA I DE RISC SEISMIC
350,Calea VICTORIEI,101 (corp A+B),Sector 1,1938,S+P+10E,95,7.572,1994,Eugeniu IORDANESCU,,1. CLASA I DE RISC SEISMIC
351,Calea VICTORIEI,112,Sector 1,1939,S+P+Mz+8E,27,5.212,1995,Dan POPESCU,,1. CLASA I DE RISC SEISMIC
352,Calea VICTORIEI,124,Sector 1,1900,S+P+5E+Ma,28,3.377,1997,Valentin GEORGESCU,,1. CLASA I DE RISC SEISMIC
353,Calea VICTORIEI,208,Sector 1,1940,P+7E+Ma,44,5.2,1996,Mihai NAVODARIU,,1. CLASA I DE RISC SEISMIC
354,Calea VICTORIEI,220,Sector 1,1938÷1945,2S+P+4E,0,2.2,2014,Mihai VOICULESCU,Încadrare în clasă de risc seismic în anul 2014,1. CLASA I DE RISC SEISMIC
355,Strada VIITORULUI,114,Sector 2,1930,S+P+3E,5,817,1993,Dragoş BADEA,,1. CLASA I DE RISC SEISMIC
356,Strada VIITORULUI,116,Sector 2,1920,S+P+2E+Ma,5,217,1993,Stelian PICULESCU,,1. CLASA I DE RISC SEISMIC
357,Strada VIITORULUI,138,Sector 2,1935,S+P+2E,6,669,1993,Dragoş BADEA,,1. CLASA I DE RISC SEISMIC
358,Strada VIŞINILOR,13 (corp A+B+C),Sector 2,1930,S+P+2;S+P+3+M,14,1.342,1993,Constantin ARIENESCU,,1. CLASA I DE RISC SEISMIC
359,Strada VULTURILOR,25 (corp A+B+C),Sector 3,1935,P+5E,20,2.061,1994,Adina SIMION,,1. CLASA I DE RISC SEISMIC
360,Strada WASHINGTON,17,Sector 1,1925,S+P+2E+Ma,15,1.397,1996,Constantin TARHON,,1. CLASA I DE RISC SEISMIC
361,Strada ZECE MESE,12,Sector 2,1934,S+P+3E,11,997,1993,Mircea CONDRUT,,1. CLASA I DE RISC SEISMIC
